"","workerid","rt","content","subjectGender","speakerGender","verb","contentNr","trigger_class","response","slide_number_in_experiment","age","language","american","gender","comments","Answer.time_in_minutes","nResponse"
"29",183,4310,"Sebastian lives in the USA and has never been to the USA",NA,"M","contradictory C","control_bad4","control","Yes",5,36,"English",0,"Male","",2.41486666666667,1
"30",183,3273,"Frederick is both smarter and taller than I am",NA,"M","non-contrd. C","control_good3","control","No",6,36,"English",0,"Male","",2.41486666666667,0
"31",183,4857,"Josh learned to ride a bike yesterday","F","F","inform","16","C","No",7,36,"English",0,"Male","",2.41486666666667,0
"32",183,3469,"Olivia sleeps until noon","M","F","hear","4","C","No",8,36,"English",0,"Male","",2.41486666666667,0
"33",183,2906,"Dana has never smoked in her life and she stopped smoking recently",NA,"F","contradictory C","control_bad1","control","Yes",9,36,"English",0,"Male","",2.41486666666667,1
"34",183,4124,"Jon walks to work","F","M","confirm","19","C","No",10,36,"English",0,"Male","",2.41486666666667,0
"35",183,4962,"Mary is pregnant","M","F","acknowledge","1","C","No",11,36,"English",0,"Male","",2.41486666666667,0
"36",183,3894,"Sophia got a tattoo","M","F","reveal","5","NonProj","Yes",12,36,"English",0,"Male","",2.41486666666667,1
"37",183,5464,"Isabella ate a steak on Sunday","M","M","admit","7","C","No",13,36,"English",0,"Male","",2.41486666666667,0
"38",183,4623,"Josie went on vacation to France","M","M","be_right","2","C","Yes",14,36,"English",0,"Male","",2.41486666666667,1
"39",183,3290,"Frank got a cat","F","M","say","12","C","No",15,36,"English",0,"Male","",2.41486666666667,0
"40",183,2743,"Vanessa is really good at math, but I&quotecharm not",NA,"F","non-contrd. C","control_good4","control","No",16,36,"English",0,"Male","",2.41486666666667,0
"41",183,2767,"Tony had a drink last night","F","M","pretend","15","NonProj","No",17,36,"English",0,"Male","",2.41486666666667,0
"42",183,4767,"Julian dances salsa","F","M","think","18","NonProj","No",18,36,"English",0,"Male","",2.41486666666667,0
"43",183,3950,"Emma studied on Saturday morning","M","F","demonstrate","3","C","Yes",19,36,"English",0,"Male","",2.41486666666667,1
"44",183,3150,"Grace visited her sister","M","F","announce","9","C","No",20,36,"English",0,"Male","",2.41486666666667,0
"45",183,3755,"Owen shoveled snow last winter","F","M","suggest","17","C","No",21,36,"English",0,"Male","",2.41486666666667,0
"46",183,3380,"Mia drank 2 cocktails last night","M","F","know","6","NonProj","Yes",22,36,"English",0,"Male","",2.41486666666667,1
"47",183,3330,"Danny ate the last cupcake","F","M","confess","11","C","No",23,36,"English",0,"Male","",2.41486666666667,0
"48",183,3085,"Jackson ran 10 miles","F","M","discover","13","NonProj","Yes",24,36,"English",0,"Male","",2.41486666666667,1
"49",183,4808,"Emily bought a car yesterday","M","M","prove","8","C","Yes",25,36,"English",0,"Male","",2.41486666666667,1
"50",183,2652,"Zack believes that I&quotecharm married, but I&quotecharm actually single",NA,"M","non-contrd. C","control_good1","control","No",26,36,"English",0,"Male","",2.41486666666667,0
