participant,list,presentationorder,verb,frame,voice,polarity,conditional,veridicality,acceptability,nativeenglish,exclude
219,0,1,surmise,that_S,active,positive,False,maybe,6,True,False
219,0,2,update,that_S,active,positive,False,yes,2,True,False
219,0,3,disregard,that_S,active,negative,False,maybe,4,True,False
219,0,4,agree,that_S,active,positive,False,yes,4,True,False
219,0,5,surmise,that_S,active,negative,False,maybe,3,True,False
219,0,6,evaluate,that_S,active,positive,False,maybe,5,True,False
219,0,7,remind,that_S,passive,negative,False,no,5,True,False
219,0,8,vow,that_S,active,positive,False,yes,5,True,False
219,0,9,sing,that_S,active,negative,False,maybe,2,True,False
219,0,10,sob,that_S,active,positive,False,yes,2,True,False
219,0,11,prove,that_S,active,negative,False,maybe,6,True,False
219,0,12,rediscover,that_S,active,positive,False,yes,4,True,False
219,0,13,ascertain,that_S,active,positive,False,maybe,3,True,False
219,0,14,communicate,that_S,active,positive,False,yes,6,True,False
219,0,15,depress,that_S,passive,positive,False,yes,6,True,False
219,0,16,radio,that_S,passive,negative,False,maybe,3,True,False
219,0,17,volunteer,that_S,active,positive,False,yes,5,True,False
219,0,18,deny,that_S,active,positive,False,maybe,6,True,False
219,0,19,delight,that_S,passive,positive,False,yes,7,True,False
219,0,20,ensure,that_S,active,negative,False,maybe,5,True,False
219,0,21,jar,that_S,passive,negative,False,yes,5,True,False
219,0,22,find_out,that_S,active,negative,False,no,5,True,False
219,0,23,dislike,that_S,active,negative,False,yes,4,True,False
219,0,24,disapprove,that_S,active,positive,False,yes,6,True,False
219,0,25,forgive,that_S,passive,positive,False,yes,3,True,False
219,0,26,flip_out,that_S,active,positive,False,yes,7,True,False
219,0,27,flatter,that_S,passive,positive,False,yes,7,True,False
219,0,28,fake,that_S,active,positive,False,no,6,True,False
219,0,29,hearten,that_S,passive,negative,False,yes,3,True,False
219,0,30,imagine,that_S,active,negative,False,maybe,5,True,False
219,0,31,stimulate,that_S,passive,negative,False,yes,5,True,False
219,0,32,demand,that_S,active,positive,False,maybe,3,True,False
219,0,33,growl,that_S,active,negative,False,maybe,2,True,False
219,0,34,ruminate,that_S,active,negative,False,maybe,3,True,False
219,0,35,forgive,that_S,active,positive,False,yes,4,True,False
219,0,36,dismay,that_S,passive,negative,False,yes,7,True,False
