"","workerid","rt","subjectGender","speakerGender","content","verb","fact","fact_type","contentNr","trigger_class","response","slide_number_in_experiment","age","language","assess","american","gender","comments","Answer.time_in_minutes","assignmentid"
"1",0,5191,NA,"M","Hendrick&quotechars car was expensive","control","Hendrick just bought a car",NA,"control6","control",0.1,2,38,"english","Yes","m","m","",2.0626,"3PIWWX1FJJ78V5N7WBELSYK9QJBJJ3"
"2",0,2740,NA,"F","Mary&quotechars aunt is sick","control","Mary visited her aunt on Sunday",NA,"control2","control",0.11,3,38,"english","Yes","m","m","",2.0626,"3PIWWX1FJJ78V5N7WBELSYK9QJBJJ3"
"3",0,3495,"M","M","Emily bought a car yesterday","establish","Emily has been saving for a year","factH","8","NonProj",0.61,4,38,"english","Yes","m","m","",2.0626,"3PIWWX1FJJ78V5N7WBELSYK9QJBJJ3"
"4",0,3866,"F","M","Frank got a cat","prove","Frank has always wanted a pet","factH","12","C",0.72,5,38,"english","Yes","m","m","",2.0626,"3PIWWX1FJJ78V5N7WBELSYK9QJBJJ3"
"5",0,2983,"F","F","Charley speaks Spanish","reveal","Charley lives in Mexico","factH","20","NonProj",0.92,6,38,"english","Yes","m","m","",2.0626,"3PIWWX1FJJ78V5N7WBELSYK9QJBJJ3"
"6",0,4669,"F","F","Jon walks to work","confirm","Jon lives 10 miles away from work","factL","19","C",0.42,7,38,"english","Yes","m","m","",2.0626,"3PIWWX1FJJ78V5N7WBELSYK9QJBJJ3"
"7",0,3847,"M","F","Mia drank 2 cocktails last night","acknowledge","Mia is a college student","factH","6","C",0.81,8,38,"english","Yes","m","m","",2.0626,"3PIWWX1FJJ78V5N7WBELSYK9QJBJJ3"
"8",0,3052,"F","F","Julian dances salsa","be_right_that","Julian is Cuban","factH","18","C",0.33,9,38,"english","Yes","m","m","",2.0626,"3PIWWX1FJJ78V5N7WBELSYK9QJBJJ3"
"9",0,3605,"F","F","Tony had a drink last night","think","Tony has been sober for 20 years","factL","15","NonProj",0.12,10,38,"english","Yes","m","m","",2.0626,"3PIWWX1FJJ78V5N7WBELSYK9QJBJJ3"
"10",0,3324,"F","M","Jackson ran 10 miles","say","Jackson is training for a marathon","factH","13","C",0.41,11,38,"english","Yes","m","m","",2.0626,"3PIWWX1FJJ78V5N7WBELSYK9QJBJJ3"
"11",0,3093,"M","M","Emma studied on Saturday morning","annoyed","Emma is in first grade","factL","3","NonProj",0.9,12,38,"english","Yes","m","m","",2.0626,"3PIWWX1FJJ78V5N7WBELSYK9QJBJJ3"
"12",0,3253,NA,"F","Zack is coming to the meeting tomorrow","control","Zack is a member of the golf club",NA,"control1","control",0.24,13,38,"english","Yes","m","m","",2.0626,"3PIWWX1FJJ78V5N7WBELSYK9QJBJJ3"
"13",0,2881,"M","F","Josie went on vacation to France","announce","Josie doesn&quotechart have a passport","factL","2","C",0.91,14,38,"english","Yes","m","m","",2.0626,"3PIWWX1FJJ78V5N7WBELSYK9QJBJJ3"
"14",0,2270,NA,"F","Vanessa is good at math","control","Vanessa won a prize at school",NA,"control4","control",0.2,15,38,"english","Yes","m","m","",2.0626,"3PIWWX1FJJ78V5N7WBELSYK9QJBJJ3"
"15",0,2792,"F","F","Danny ate the last cupcake","know","Danny is a diabetic","factL","11","NonProj",0.97,16,38,"english","Yes","m","m","",2.0626,"3PIWWX1FJJ78V5N7WBELSYK9QJBJJ3"
"16",0,2781,NA,"F","Madison had a baby","control","Trish sent Madison a card",NA,"control5","control",0.31,17,38,"english","Yes","m","m","",2.0626,"3PIWWX1FJJ78V5N7WBELSYK9QJBJJ3"
"17",0,3053,"M","M","Olivia sleeps until noon","inform_Sam","Olivia has two small children","factL","4","C",0.89,18,38,"english","Yes","m","m","",2.0626,"3PIWWX1FJJ78V5N7WBELSYK9QJBJJ3"
"18",0,4006,"M","F","Mary is pregnant","admit","Mary is taking a prenatal yoga class","factH","1","C",0.99,19,38,"english","Yes","m","m","",2.0626,"3PIWWX1FJJ78V5N7WBELSYK9QJBJJ3"
"19",0,3364,"F","M","Jayden rented a car","discover","Jayden doesn&quotechart have a driver&quotechars license","factL","14","NonProj",0.9,20,38,"english","Yes","m","m","",2.0626,"3PIWWX1FJJ78V5N7WBELSYK9QJBJJ3"
"20",0,2491,NA,"F","Todd played football in high school","control","Todd goes to the gym 3 times a week",NA,"control3","control",0.09,21,38,"english","Yes","m","m","",2.0626,"3PIWWX1FJJ78V5N7WBELSYK9QJBJJ3"
"21",0,4519,"F","F","Owen shoveled snow last winter","pretend","Owen lives in New Orleans","factL","17","NonProj",0.22,22,38,"english","Yes","m","m","",2.0626,"3PIWWX1FJJ78V5N7WBELSYK9QJBJJ3"
"22",0,3916,"M","F","Grace visited her sister","hear","Grace hates her sister","factL","9","C",0.89,23,38,"english","Yes","m","m","",2.0626,"3PIWWX1FJJ78V5N7WBELSYK9QJBJJ3"
"23",0,8043,"F","F","Josh learned to ride a bike yesterday","suggest","Josh is a 5-year old boy","factH","16","C",0.53,24,38,"english","Yes","m","m","",2.0626,"3PIWWX1FJJ78V5N7WBELSYK9QJBJJ3"
"24",0,4840,"M","M","Zoe calculated the tip","demonstrate","Zoe is a math major","factH","10","C",0.35,25,38,"english","Yes","m","m","",2.0626,"3PIWWX1FJJ78V5N7WBELSYK9QJBJJ3"
"25",0,4037,"M","F","Isabella ate a steak on Sunday","see","Isabella is a vegetarian","factL","7","NonProj",0.86,26,38,"english","Yes","m","m","",2.0626,"3PIWWX1FJJ78V5N7WBELSYK9QJBJJ3"
"26",0,3494,"M","M","Sophia got a tattoo","confess","Sophia is a hipster","factH","5","C",0.89,27,38,"english","Yes","m","m","",2.0626,"3PIWWX1FJJ78V5N7WBELSYK9QJBJJ3"
"27",1,13530,"F","F","Owen shoveled snow last winter","know","Owen lives in Chicago","factH","17","NonProj",0.12,2,24,"english","Yes","m","m","",2.62438333333333,"3JV9LGBJWTFC5EO34ILN3H9FXL4OGN"
"28",1,12036,NA,"M","Todd played football in high school","control","Todd goes to the gym 3 times a week",NA,"control3","control",0.14,3,24,"english","Yes","m","m","",2.62438333333333,"3JV9LGBJWTFC5EO34ILN3H9FXL4OGN"
"29",1,3957,"F","M","Jayden rented a car","announce","Jayden&quotechars car is in the shop","factH","14","C",0.19,4,24,"english","Yes","m","m","",2.62438333333333,"3JV9LGBJWTFC5EO34ILN3H9FXL4OGN"
