workerid,rt,prompt,itemType,itemNr,list,item,response,fact,slide_number_in_experiment,gender,american,age,language,comments,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.condition,Answer.time_in_minutes,Answer.catch_trials
0,8398,How likely is it that Frank got a cat?,H,12,1,12H,0.83,Frank has always wanted a pet.,2,Male,0,29,english,,Windows,864,1536,Chrome,3SR6AEG6W5UZD4PM49711OOYEDVYH1,3BH55VSCCHFJGT0KC92JQ5Y4DW0JB7,Language study,A 4-minute language experiment,language experiment study communication fun cognitive science,$0.55,Mon Nov 13 07:09:44 EST 2017,95,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 16 07:09:44 EST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3SR6AEG6W5UZD4PM49711OOYEDVYH1,3180JW2OT4D0O68M79ARRO1466N5JK,0,Submitted,Mon Nov 13 23:52:03 EST 2017,Mon Nov 13 07:09:54 EST 2017,Mon Nov 13 07:12:03 EST 2017,,,,,,undefined,2.0863,[]
0,3505,How likely is it that Isabella ate a steak on Sunday?,L,7,1,7L,0.14,Isabella is a vegetarian.,3,Male,0,29,english,,Windows,864,1536,Chrome,3SR6AEG6W5UZD4PM49711OOYEDVYH1,3BH55VSCCHFJGT0KC92JQ5Y4DW0JB7,Language study,A 4-minute language experiment,language experiment study communication fun cognitive science,$0.55,Mon Nov 13 07:09:44 EST 2017,95,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 16 07:09:44 EST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3SR6AEG6W5UZD4PM49711OOYEDVYH1,3180JW2OT4D0O68M79ARRO1466N5JK,0,Submitted,Mon Nov 13 23:52:03 EST 2017,Mon Nov 13 07:09:54 EST 2017,Mon Nov 13 07:12:03 EST 2017,,,,,,undefined,2.0863,[]
0,3526,How likely is it that Zoe calculated the tip?,H,10,1,10H,0.93,Zoe is a math major.,4,Male,0,29,english,,Windows,864,1536,Chrome,3SR6AEG6W5UZD4PM49711OOYEDVYH1,3BH55VSCCHFJGT0KC92JQ5Y4DW0JB7,Language study,A 4-minute language experiment,language experiment study communication fun cognitive science,$0.55,Mon Nov 13 07:09:44 EST 2017,95,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 16 07:09:44 EST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3SR6AEG6W5UZD4PM49711OOYEDVYH1,3180JW2OT4D0O68M79ARRO1466N5JK,0,Submitted,Mon Nov 13 23:52:03 EST 2017,Mon Nov 13 07:09:54 EST 2017,Mon Nov 13 07:12:03 EST 2017,,,,,,undefined,2.0863,[]
0,2893,How likely is it that Tammy speaks Italian and Greek?,F,F,1,F2,0.2,Tammy is a rabbit.,5,Male,0,29,english,,Windows,864,1536,Chrome,3SR6AEG6W5UZD4PM49711OOYEDVYH1,3BH55VSCCHFJGT0KC92JQ5Y4DW0JB7,Language study,A 4-minute language experiment,language experiment study communication fun cognitive science,$0.55,Mon Nov 13 07:09:44 EST 2017,95,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 16 07:09:44 EST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3SR6AEG6W5UZD4PM49711OOYEDVYH1,3180JW2OT4D0O68M79ARRO1466N5JK,0,Submitted,Mon Nov 13 23:52:03 EST 2017,Mon Nov 13 07:09:54 EST 2017,Mon Nov 13 07:12:03 EST 2017,,,,,,undefined,2.0863,[]
0,2414,How likely is it that Emma studied on Saturday morning?,L,3,1,3L,0.64,Emma is in first grade.,6,Male,0,29,english,,Windows,864,1536,Chrome,3SR6AEG6W5UZD4PM49711OOYEDVYH1,3BH55VSCCHFJGT0KC92JQ5Y4DW0JB7,Language study,A 4-minute language experiment,language experiment study communication fun cognitive science,$0.55,Mon Nov 13 07:09:44 EST 2017,95,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 16 07:09:44 EST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3SR6AEG6W5UZD4PM49711OOYEDVYH1,3180JW2OT4D0O68M79ARRO1466N5JK,0,Submitted,Mon Nov 13 23:52:03 EST 2017,Mon Nov 13 07:09:54 EST 2017,Mon Nov 13 07:12:03 EST 2017,,,,,,undefined,2.0863,[]
0,2540,How likely is it that Jackson ran 10 miles?,L,13,1,13L,0.25,Jackson is obese.,7,Male,0,29,english,,Windows,864,1536,Chrome,3SR6AEG6W5UZD4PM49711OOYEDVYH1,3BH55VSCCHFJGT0KC92JQ5Y4DW0JB7,Language study,A 4-minute language experiment,language experiment study communication fun cognitive science,$0.55,Mon Nov 13 07:09:44 EST 2017,95,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 16 07:09:44 EST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3SR6AEG6W5UZD4PM49711OOYEDVYH1,3180JW2OT4D0O68M79ARRO1466N5JK,0,Submitted,Mon Nov 13 23:52:03 EST 2017,Mon Nov 13 07:09:54 EST 2017,Mon Nov 13 07:12:03 EST 2017,,,,,,undefined,2.0863,[]
0,2408,How likely is it that Tony had a drink last night?,L,15,1,15L,0.12,Tony has been sober for 20 years.,8,Male,0,29,english,,Windows,864,1536,Chrome,3SR6AEG6W5UZD4PM49711OOYEDVYH1,3BH55VSCCHFJGT0KC92JQ5Y4DW0JB7,Language study,A 4-minute language experiment,language experiment study communication fun cognitive science,$0.55,Mon Nov 13 07:09:44 EST 2017,95,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 16 07:09:44 EST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3SR6AEG6W5UZD4PM49711OOYEDVYH1,3180JW2OT4D0O68M79ARRO1466N5JK,0,Submitted,Mon Nov 13 23:52:03 EST 2017,Mon Nov 13 07:09:54 EST 2017,Mon Nov 13 07:12:03 EST 2017,,,,,,undefined,2.0863,[]
0,2512,How likely is it that Charley speaks Spanish?,H,20,1,20H,0.64,Charley lives in Mexico.,9,Male,0,29,english,,Windows,864,1536,Chrome,3SR6AEG6W5UZD4PM49711OOYEDVYH1,3BH55VSCCHFJGT0KC92JQ5Y4DW0JB7,Language study,A 4-minute language experiment,language experiment study communication fun cognitive science,$0.55,Mon Nov 13 07:09:44 EST 2017,95,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 16 07:09:44 EST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3SR6AEG6W5UZD4PM49711OOYEDVYH1,3180JW2OT4D0O68M79ARRO1466N5JK,0,Submitted,Mon Nov 13 23:52:03 EST 2017,Mon Nov 13 07:09:54 EST 2017,Mon Nov 13 07:12:03 EST 2017,,,,,,undefined,2.0863,[]
0,2745,How likely is it that Barry lives in Europe?,F,F,1,F1,0.31,Barry lives in Germany.,10,Male,0,29,english,,Windows,864,1536,Chrome,3SR6AEG6W5UZD4PM49711OOYEDVYH1,3BH55VSCCHFJGT0KC92JQ5Y4DW0JB7,Language study,A 4-minute language experiment,language experiment study communication fun cognitive science,$0.55,Mon Nov 13 07:09:44 EST 2017,95,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 16 07:09:44 EST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3SR6AEG6W5UZD4PM49711OOYEDVYH1,3180JW2OT4D0O68M79ARRO1466N5JK,0,Submitted,Mon Nov 13 23:52:03 EST 2017,Mon Nov 13 07:09:54 EST 2017,Mon Nov 13 07:12:03 EST 2017,,,,,,undefined,2.0863,[]
0,2991,How likely is it that Mary is pregnant?,L,1,1,1L,0.25,Mary is a middle school student.,11,Male,0,29,english,,Windows,864,1536,Chrome,3SR6AEG6W5UZD4PM49711OOYEDVYH1,3BH55VSCCHFJGT0KC92JQ5Y4DW0JB7,Language study,A 4-minute language experiment,language experiment study communication fun cognitive science,$0.55,Mon Nov 13 07:09:44 EST 2017,95,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 16 07:09:44 EST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3SR6AEG6W5UZD4PM49711OOYEDVYH1,3180JW2OT4D0O68M79ARRO1466N5JK,0,Submitted,Mon Nov 13 23:52:03 EST 2017,Mon Nov 13 07:09:54 EST 2017,Mon Nov 13 07:12:03 EST 2017,,,,,,undefined,2.0863,[]
