"","content","short_trigger","workerid","prior_type","prior_fact","block_proj","prior","projective","eventItem"
"1","ballet","MC",0,"main_clause","Ballet is a type of dance","block1",0.63,0.31,"MC"
"2","ballet","MC",1,"main_clause","Ballet is a type of dance","block1",0.96,0.24,"MC"
"3","ballet","MC",2,"main_clause","Ballet is a type of dance","block1",0.62,0.65,"MC"
"4","ballet","MC",3,"main_clause","Ballet is a type of dance","block1",0.57,0.62,"MC"
"5","ballet","MC",4,"main_clause","Ballet is a type of dance","block2",0.47,0.04,"MC"
"6","ballet","MC",5,"main_clause","Ballet is a type of dance","block1",0.49,0.05,"MC"
"7","ballet","MC",6,"main_clause","Ballet is a type of dance","block2",0.5,0,"MC"
"8","ballet","MC",9,"main_clause","Ballet is a type of dance","block2",0.5,0.03,"MC"
"9","ballet","MC",10,"main_clause","Ballet is a type of dance","block2",0.31,0.11,"MC"
"10","ballet","MC",11,"main_clause","Ballet is a type of dance","block1",0.5,0.31,"MC"
"11","ballet","MC",12,"main_clause","Ballet is a type of dance","block2",0.83,0.52,"MC"
"12","ballet","MC",13,"main_clause","Ballet is a type of dance","block1",0.5,0,"MC"
"13","ballet","MC",14,"main_clause","Ballet is a type of dance","block2",0.96,0.01,"MC"
"14","ballet","MC",15,"main_clause","Ballet is a type of dance","block1",0.49,0,"MC"
"15","ballet","MC",16,"main_clause","Ballet is a type of dance","block1",0.77,0.49,"MC"
"16","ballet","MC",18,"main_clause","Ballet is a type of dance","block1",0.21,0,"MC"
"17","ballet","MC",19,"main_clause","Ballet is a type of dance","block2",0.48,0.04,"MC"
"18","ballet","MC",20,"main_clause","Ballet is a type of dance","block2",0.48,0.24,"MC"
"19","ballet","MC",21,"main_clause","Ballet is a type of dance","block2",0.31,0.11,"MC"
"20","ballet","MC",23,"main_clause","Ballet is a type of dance","block2",0.99,0.93,"MC"
"21","ballet","MC",25,"main_clause","Ballet is a type of dance","block1",0.76,0.12,"MC"
"22","ballet","MC",26,"main_clause","Ballet is a type of dance","block2",0.49,0.18,"MC"
"23","ballet","MC",27,"main_clause","Ballet is a type of dance","block2",0.48,0.27,"MC"
"24","ballet","MC",28,"main_clause","Ballet is a type of dance","block1",0.61,0.69,"MC"
"25","ballet","MC",29,"main_clause","Ballet is a type of dance","block1",0.65,0.22,"MC"
"26","ballet","MC",30,"main_clause","Ballet is a type of dance","block2",0.08,0.02,"MC"
"27","ballet","MC",31,"main_clause","Ballet is a type of dance","block1",0.8,0.03,"MC"
"28","ballet","MC",33,"main_clause","Ballet is a type of dance","block2",0.89,0.14,"MC"
"29","ballet","MC",34,"main_clause","Ballet is a type of dance","block2",0.66,0.04,"MC"
"30","ballet","MC",35,"main_clause","Ballet is a type of dance","block2",0.11,0,"MC"
"31","ballet","MC",36,"main_clause","Ballet is a type of dance","block2",0.87,0.37,"MC"
"32","ballet","MC",37,"main_clause","Ballet is a type of dance","block2",0.25,0.31,"MC"
"33","ballet","MC",38,"main_clause","Ballet is a type of dance","block1",0.98,0.97,"MC"
"34","ballet","MC",40,"main_clause","Ballet is a type of dance","block2",0.65,0.07,"MC"
"35","ballet","MC",41,"main_clause","Ballet is a type of dance","block2",0.25,0.81,"MC"
"36","ballet","MC",42,"main_clause","Ballet is a type of dance","block2",0.49,0.06,"MC"
"37","ballet","MC",43,"main_clause","Ballet is a type of dance","block2",0.53,0.01,"MC"
"38","ballet","MC",44,"main_clause","Ballet is a type of dance","block2",0.51,0,"MC"
"39","ballet","MC",45,"main_clause","Ballet is a type of dance","block2",0.64,0.89,"MC"
"40","ballet","MC",46,"main_clause","Ballet is a type of dance","block1",0.04,0.17,"MC"
"41","ballet","MC",47,"main_clause","Ballet is a type of dance","block2",0.51,0.17,"MC"
"42","ballet","MC",48,"main_clause","Ballet is a type of dance","block2",0.49,0.03,"MC"
"43","ballet","MC",49,"main_clause","Ballet is a type of dance","block2",0.55,0.03,"MC"
"44","ballet","MC",50,"main_clause","Ballet is a type of dance","block1",0.71,0.03,"MC"
"45","ballet","MC",51,"main_clause","Ballet is a type of dance","block1",0.77,0.04,"MC"
"46","ballet","MC",52,"main_clause","Ballet is a type of dance","block1",0.53,0.19,"MC"
"47","ballet","MC",53,"main_clause","Ballet is a type of dance","block1",0.51,0,"MC"
"48","ballet","MC",54,"main_clause","Ballet is a type of dance","block1",0.77,0,"MC"
"49","ballet","MC",55,"main_clause","Ballet is a type of dance","block1",0.57,0,"MC"
"50","ballet","MC",56,"main_clause","Ballet is a type of dance","block1",0.49,0,"MC"
"51","ballet","MC",57,"main_clause","Ballet is a type of dance","block2",0.67,0.07,"MC"
"52","ballet","MC",58,"main_clause","Ballet is a type of dance","block1",0.44,0,"MC"
"53","ballet","MC",59,"main_clause","Ballet is a type of dance","block2",0.49,0.48,"MC"
"54","ballet","MC",60,"main_clause","Ballet is a type of dance","block2",0.49,0.03,"MC"
"55","ballet","MC",61,"main_clause","Ballet is a type of dance","block2",0.52,0.02,"MC"
"56","ballet","MC",62,"main_clause","Ballet is a type of dance","block1",0.71,0.98,"MC"
"57","ballet","MC",63,"main_clause","Ballet is a type of dance","block2",0.82,0.76,"MC"
"58","ballet","MC",64,"main_clause","Ballet is a type of dance","block1",0.51,0,"MC"
"59","ballet","MC",65,"main_clause","Ballet is a type of dance","block2",0.48,0.14,"MC"
"60","ballet","MC",66,"main_clause","Ballet is a type of dance","block2",0.5,0,"MC"
"61","ballet","MC",67,"main_clause","Ballet is a type of dance","block2",0.09,0,"MC"
"62","ballet","MC",68,"main_clause","Ballet is a type of dance","block2",0.48,0.01,"MC"
"63","ballet","MC",69,"main_clause","Ballet is a type of dance","block2",0.5,0,"MC"
"64","ballet","MC",70,"main_clause","Ballet is a type of dance","block1",0.7,0.66,"MC"
"65","ballet","MC",71,"main_clause","Ballet is a type of dance","block1",0.83,0,"MC"
"66","ballet","MC",73,"main_clause","Ballet is a type of dance","block1",0.51,0,"MC"
"67","ballet","MC",74,"main_clause","Ballet is a type of dance","block1",0.5,0.02,"MC"
"68","ballet","MC",75,"main_clause","Ballet is a type of dance","block1",0.57,0.36,"MC"
"69","ballet","MC",76,"main_clause","Ballet is a type of dance","block1",0.5,0.02,"MC"
"70","ballet","MC",77,"main_clause","Ballet is a type of dance","block2",0.63,0,"MC"
"71","ballet","MC",78,"main_clause","Ballet is a type of dance","block1",0.47,0.15,"MC"
